key,query,source,score
PRIZM.docx@Nxt.docx,the first 64 bits of the account id are the visible account number.,the first 64 bits of the account id are the visible account number.,0.999999523
PRIZM.docx@Nxt.docx,this creates a 64-byte signature that is then hashed using sha256.,"this creates a 64-byte signature, which is then hashed using sha256.",0.997453988
PRIZM.docx@Nxt.docx,"transactions are considered safe after ten confirmations, which means that transactions become permanent in less than 14 minutes.","transactions are deemed safe after ten confirmations, meaning that transactions are permanent in less than 14 minutes.",0.99242276
PRIZM.docx@Nxt.docx,"even if there are only a few active accounts on the network, one of them will eventually generate a block because thetarget value will become very large.","even if there are only a few active accounts on the network, one of them will eventually generate a block because the target value will become very large.",0.99043262
PRIZM.docx@Nxt.docx,extreme forms of this attack include obtaining private keys from old accounts and using them to build a successful chain directly from the genesis block.,extreme forms of this attack involve obtaining the private keys from old accounts and using them to build a successful chain right from the genesis block.,0.985868573
PRIZM.docx@Nxt.docx,this target value and the base target value are the same for all accounts that are trying to to forge on top of a particular block.,this target value and the base target value are the same for all accounts attempting to forge on top of a specific block.,0.985325336
PRIZM.docx@Nxt.docx,the public key is hashed with sha256 to obtain the account id.,the public key is hashed with sha256 to derive the account id.,0.984069765
PRIZM.docx@Nxt.docx,"by default, the deadline is 1440 minutes (24 hours).",the default deadline is 1440 minutes (24 hours).,0.98322624
PRIZM.docx@Nxt.docx,any account that meets these criteria is called an active account.,any account that meets these criteria is referred to as an active account.,0.981917858
PRIZM.docx@Nxt.docx,"when an account is accessed with a secret passphrase for the first time, it is not protected by a public key.","when an account is accessed by a secret passphrase for the very first time, it is not secured by a public key.",0.981446028
PRIZM.docx@Nxt.docx,"because subsequent blocks are added to an existing blockchain, each additional block adds another confirmation to the number of transaction confirmations.","as subsequent blocks are added to the existing blockchain, each additional block adds one more confirmation to the number of confirmations for a transaction.",0.980278611
PRIZM.docx@Nxt.docx,low cost and resource consumption of these devices significantly reduce network costs compared to traditional cryptocurrency proof of work.,the low cost and resource consumption of these devices significantly reduce network costs in comparison with traditional proof of work cryptocurrencies.,0.979525208
PRIZM.docx@Nxt.docx,this limits the time frame in which a bad actor could establish this form of attack.,this limits the time frame in which a bad actor could mount this form of attack.,0.978901744
PRIZM.docx@Nxt.docx,"asic technology is thepinnacle of the line for bitcoin miners, but the arms race continues with the advent of different generations of asic chips.","asic technology is the top of the line for bitcoin miners, but the arms race continues with various generations of asic chips now coming into service.",0.976528764
PRIZM.docx@Nxt.docx,"in novem­ ber 2013, forbes magazine published an article titled "" global bitcoin computing power is 256 times faster than 500 combined supercomputers!"".","in november 2013, forbes magazine ran an article entitled, ""global bitcoin computing power now 256 times faster than top 500 supercomputers, combined!""[6].",0.97605139
PRIZM.docx@Nxt.docx,"these collisions are detected and prevented as follows: after a certain passphrase is used to access the account, and the account is protected with a 256-bit public key, no other public-private key pair can access this account number.","these collisions are detected and prevented in the following way:once a specific passphrase is used to access an account, and that account is secured by a 256-bit public key, no other public-private key pair is permitted to access that account number.",0.975667119
PRIZM.docx@Nxt.docx,"each transactionin a block is represented by a maximum of 160 bytes, and the maximum block size is 32 kb.","each transaction in a block is represented by a maximum of 160 bytes, and the maximum block size is 32kb.",0.974826694
PRIZM.docx@Nxt.docx,"the newly created blocks are distributed to the network by the node (and the associated account) that creates them, and the transaction that is included in the block is considered to be one confirmation received.","newly-created blocks are distributed to the network by the node (and associated account) that creates them, and a transaction that is included in a block is considered as having received one confirmation.",0.973254442
PRIZM.docx@Nxt.docx,"when the first outgoing transaction is made from the account, the 256-bit public key received from the passphrase is stored in the blockchain, and this protects the account.","when the first outgoing transaction from an account is made, the 256-bit public key derived from the passphrase is stored on the blockchain, and this secures the account.",0.971703589
PRIZM.docx@Nxt.docx,"since any node can request an effective balance for any active account, it is possible to go through all active accounts to determine their individual hit value.","since any node can query the effective balance for any active account, it is possible to iterate through all active accounts in order to determine their individual hit value.",0.971518219
PRIZM.docx@Nxt.docx,"this is done by ""hashing"" combining all bitcoin transactions occurring within the last ten minutes, and trying to encrypt them into a block of data, which also coincidentally has a certain number of consecutive zeros in it.","this is done by ""hashing"" bundling all bitcoin transactions occurring over the past ten minutes and trying to encrypt them into a block of data that also coincidentally has a certain number of consecutive zeros in it.",0.971213043
PRIZM.docx@Nxt.docx,"if the transaction was not included in the block before the transaction deadline, the transaction is removed from the network.","if a transaction has not been included in a block before the transaction deadline expires, the transaction is removed from the network.",0.96972543
PRIZM.docx@Nxt.docx,"most trial blocks generated by hashing miners do not have this target number of zeros, so they make small changes and try again.","most trial blocks generated by a miner’s hashing effort don’t have this target number of zeros, so they make a slight change and try again.",0.967646241
PRIZM.docx@Nxt.docx,each node has built-in ddos protection mechanisms (distributed denial of services) that limit the number of network requests from any user to 30 per second.,each node features built-in ddos (distributed denial of services) defence mechanisms which restrict the number of network requests from any peer to 30 per second.,0.966953278
PRIZM.docx@Nxt.docx,andthese numbers are now going up the exponential growth curve as bitcoin marches from its current one transaction per second to its current maximum of seven trans­ actions per second.,and these numbers are currently headed upward in an exponential growth curve as bitcoin marches from its current one transaction per second to its current maximum of seven transactions per second.,0.965329766
PRIZM.docx@Nxt.docx,this block is then transmitted to the network as a blockchain candidate.,this block is then broadcast to the network as a candidate for the blockchain.,0.965280175
PRIZM.docx@Nxt.docx,"the maximum target value is 1,53722867x 1017, andtheminimum target value is half the base target value of the previous block.",the maximum target value is 1.53722867 x 1017 and the minimum target value is one half of the previous block’s base target value.,0.96445936
PRIZM.docx@Nxt.docx,"to participate in the forging process of a block, the active account cryptologically signs the previous generated block with its own public key.","to participate in the block forging process, an active account cryptographically signs the generation signature of the previous block with its own public key.",0.964394093
PRIZM.docx@Nxt.docx,"basic payments

the most fundamental feature of any cryptocurrency is the ability to transfer coins from one account to another.","basic payments
the most fundamental feature of any cryptocurrency is the ability to transmit tokens from one account to another.",0.964175344
PRIZM.docx@Nxt.docx,"if thecalculated hit is lower than the target, the next block can be generated.","if the computed hit is lower than the target, then the next block can be generated.",0.963176787
PRIZM.docx@Nxt.docx,"initially, bitcoins were mined using a central processor (cpu), a typical desktop computer.",originally bitcoins were mined using the central processing unit (cpu) of a typical desktop computer.,0.962650061
PRIZM.docx@Nxt.docx,"blocks are linked by virtue of these links, creating a chain of blocks (and transactions) that can be traced back to the genesis block.","blocks are linked by virtue of these connections, creating a chain of blocks (and transactions) that can be traced all the
way back to the genesis block.",0.961706758
PRIZM.docx@Nxt.docx,"about of transactions per day

by the end of 2013, thenumber of transactions processed in the bitcoin network reached a maximum of 70,000 per day, which is about 0.8 transactions per second (tps).","transactions per day
in late 2013, the number of transactions being processed on the bitcoin network was peaking at 70,000 per day, which is about 0.8 transactions per second (tps).",0.961154819
