key,query,source,score
Sport_and_Leisure.docx@AllSports.docx,"contents will be examined through objecting criteria such as clicks received, number of times shared or reported by users, as well as other interactive feedback means.","contents will be examined through objecting criteria such as clicks received, number of times shared or reported by users, as well as other interactive feedback means.",1.000001192
Sport_and_Leisure.docx@AllSports.docx,it provides the world with underlying and basic technical services for sports prediction and entertainment.,it provides the world with underlying and basic technical services for sports prediction and entertainment.,1.000000954
Sport_and_Leisure.docx@AllSports.docx,"it also helps participants manage their own accounts, as well as use of payment for a wide range of apps and consumer scenarios across the platform.","it also helps participants manage their own accounts, as well as use of payment for a wide range of apps and consumer scenarios across the platform.",1.000000954
Sport_and_Leisure.docx@AllSports.docx,the information set out in this whitepaper is for community discussion only and is not legally binding.,the information set out in this whitepaper is for community discussion only and is not legally binding.,1.000000715
Sport_and_Leisure.docx@AllSports.docx,ip asset distribution platform (primary market): a platform to first release the ip assets and distribute them through the form of additional ip token.,ip asset distribution platform (primary market): a platform to first release the ip assets and distribute them through the form of additional ip token.,1.000000596
Sport_and_Leisure.docx@AllSports.docx,"once the trigger condition is reached, the smart contract will be executed or will provide evidence right away.","once the trigger condition is reached, the smart contract will be executed or will provide evidence right away.",1.000000596
Sport_and_Leisure.docx@AllSports.docx,you acknowledge that you have read and understood the english language version of this whitepaper.,you acknowledge that you have read and understood the english language version of this whitepaper.,1.000000477
Sport_and_Leisure.docx@AllSports.docx,"with the help of smart contracts and token systems, it offers both convenient payment and settlement and application development agreement for developers, and it is planned that the ecosystem will support sports information and community open platforms, sports ip asset trading and promoting platforms, prediction entertainment platforms, application open platforms etc.","with the help of smart contracts and token systems, it offers both convenient payment and settlement and application development agreement for developers, and it is planned that the ecosystem will support sports information and community open platforms, sports ip asset trading and promoting platforms, prediction entertainment platforms, application open platforms etc.",1.000000477
Sport_and_Leisure.docx@AllSports.docx,"last but not the least, there are also privacy and security protection.","last but not the least, there are also privacy and security protection.",1.000000477
Sport_and_Leisure.docx@AllSports.docx,"compensation and personnel committee:
formulate and modify remuneration, incentive programs, audit institutions and post settings, take charge of staff recruitment.","compensation and personnel committee:
formulate and modify remuneration, incentive programs, audit institutions and post settings, take charge of staff recruitment.",1.000000477
Sport_and_Leisure.docx@AllSports.docx,"the higher the degree of demand is, the higher the value of ip assets; the faster and wider the value delivers, the higher the commercial efficiency of ip assets.","the higher the degree of demand is, the higher the value of ip assets; the faster and wider the value delivers, the higher the commercial efficiency of ip assets.",1.000000358
Sport_and_Leisure.docx@AllSports.docx,"the related department has said that by 2020, the global online betting market is expected to grow rapidly at an annual rate of 11% after investigation and analysis.","the related department has said that by 2020, the global online betting market is expected to grow rapidly at an annual rate of 11% after investigation and analysis.",1.000000358
Sport_and_Leisure.docx@AllSports.docx,it is difficult to get ip resources.,it is difficult to get ip resources.,1.000000358
Sport_and_Leisure.docx@AllSports.docx,"the contributions in the token sale will be held by the foundation (or its affiliate) after the token sale, and contributors will have no economic or legal right over or beneficial interest in these contributions or the assets of that entity after the token sale.","the contributions in the token sale will be held by the foundation (or its affiliate) after the token sale, and contributors will have no economic or legal right over or beneficial interest in these contributions or the assets of that entity after the token sale.",1.000000358
Sport_and_Leisure.docx@AllSports.docx,"the market volume or user base for sports prediction is very large, which provides a strong economic base and broad application prospects for this service.","the market volume or user base for sports prediction is very large, which provides a strong economic base and broad application prospects for this service.",1.000000358
Sport_and_Leisure.docx@AllSports.docx,"risk control committee:
research and formulate risk control strategies, develop risk control standards, review overall operational risks, convene risk review meetings for projects and reveal the outcomes of reviews.","risk control committee:
research and formulate risk control strategies, develop risk control standards, review overall operational risks, convene risk review meetings for projects and reveal the outcomes of reviews.",1.000000358
Sport_and_Leisure.docx@AllSports.docx,"this whitepaper may be translated into a language other than english and in the event of conflict or ambiguity between the english language version and translated versions of this whitepaper, the english language version shall prevail.","this whitepaper may be translated into a language other than english and in the event of conflict or ambiguity between the english language version and translated versions of this whitepaper, the english language version shall prevail.",1.000000238
Sport_and_Leisure.docx@AllSports.docx,"further, these ecosystem partners may achieve their aim of value transfer and token consumption through sports ip asset trading and promoting platforms, prediction entertainment platforms and application open platforms.","further, these ecosystem partners may achieve their aim of value transfer and token consumption through sports ip asset trading and promoting platforms, prediction entertainment platforms and application open platforms.",1.000000238
Sport_and_Leisure.docx@AllSports.docx,"these cases all reflect that in sports industry, top ips and top stars contain huge commercial values.","these cases all reflect that in sports industry, top ips and top stars contain huge commercial values.",1.000000238
Sport_and_Leisure.docx@AllSports.docx,this is the main reason why the commercial value has not been effectively determined and released.,this is the main reason why the commercial value has not been effectively determined and released.,1.000000238
Sport_and_Leisure.docx@AllSports.docx,"betting rules, betting, information concerning betting outcomes are not open and transparent.","betting rules, betting, information concerning betting outcomes are not open and transparent.",1.000000238
Sport_and_Leisure.docx@AllSports.docx,"no part of this whitepaper is to be copied, reproduced, distributed or disseminated in any way without the prior written consent of the foundation.","no part of this whitepaper is to be copied, reproduced, distributed or disseminated in any way without the prior written consent of the foundation.",1.000000119
Sport_and_Leisure.docx@AllSports.docx,the system of incentive mechanism is poor.,the system of incentive mechanism is poor.,1.000000119
Sport_and_Leisure.docx@AllSports.docx,odds and changes in handicap are not transparent.,odds and changes in handicap are not transparent.,1.000000119
Sport_and_Leisure.docx@AllSports.docx,more and more games become similar or same with each other.,more and more games become similar or same with each other.,1.000000119
Sport_and_Leisure.docx@AllSports.docx,"these processes would require an open and transparent pricing system designed for various aspects such as content supplement, interactive supplement and service consumption.","these processes would require an open and transparent pricing system designed for various aspects such as content supplement, interactive supplement and service consumption.",1.000000119
Sport_and_Leisure.docx@AllSports.docx,the default smart contract can also be used to implement the forward code delivery.,the default smart contract can also be used to implement the forward code delivery.,1.000000119
Sport_and_Leisure.docx@AllSports.docx,"information, data, live streams, videos and other contents have spread rapidly with mobile internet.","information, data, live streams, videos and other contents have spread rapidly with mobile internet.",1
Sport_and_Leisure.docx@AllSports.docx,"the u.s. betting market is 166.2 billion dollars, accounting for 30% of the global market, which ranks the first.","the u.s. betting market is 166.2 billion dollars, accounting for 30% of the global market, which ranks the first.",1
Sport_and_Leisure.docx@AllSports.docx,"however, there are many subjects involved in the spatiotemporal distribution of sports information.","however, there are many subjects involved in the spatiotemporal distribution of sports information.",1
Sport_and_Leisure.docx@AllSports.docx,"users' demands for information contents and forms are rich and varied, which makes the cost of meeting needs is very high.","users' demands for information contents and forms are rich and varied, which makes the cost of meeting needs is very high.",1
Sport_and_Leisure.docx@AllSports.docx,"these users are handling information, reading posts, giving likes, commenting and sharing to help the entire community.","these users are handling information, reading posts, giving likes, commenting and sharing to help the entire community.",1
Sport_and_Leisure.docx@AllSports.docx,"of games, application, media) (cp) to obtain information for ip transaction and business value at the same time as well.","of games, application, media) (cp) to obtain information for ip transaction and business value at the same time as well.",1
Sport_and_Leisure.docx@AllSports.docx,the difficulty of ownership belonging judgement and default risk in ip asset trading process is high.,the difficulty of ownership belonging judgement and default risk in ip asset trading process is high.,1
Sport_and_Leisure.docx@AllSports.docx,"second place, there are trust issues with payments.","second place, there are trust issues with payments.",1
Sport_and_Leisure.docx@AllSports.docx,there is risk in users’ privacy and financial security.,there is risk in users’ privacy and financial security.,1
Sport_and_Leisure.docx@AllSports.docx,"so, there is a risk of loss of investment in game / application production.","so, there is a risk of loss of investment in game / application production.",1
Sport_and_Leisure.docx@AllSports.docx,distributed database will store media information of large capacity.,distributed database will store media information of large capacity.,1
Sport_and_Leisure.docx@AllSports.docx,"top ips such as cristiano ronaldo, roberto baggio and inter milan have signed and gained access into the ip asset trading platform.","top ips such as cristiano ronaldo, roberto baggio and inter milan have signed and gained access into the ip asset trading platform.",1
Sport_and_Leisure.docx@AllSports.docx,"however, these activities which build the ecosystem are not fairly rewarded under the current system.","however, these activities which build the ecosystem are not fairly rewarded under the current system.",0.99999994
Sport_and_Leisure.docx@AllSports.docx,ip asset trading platform (secondary market): circulating ip tokens are introduced.,ip asset trading platform (secondary market): circulating ip tokens are introduced.,0.99999994
Sport_and_Leisure.docx@AllSports.docx,"therefore, cp can directly acquire target users and thus do their promotion.","therefore, cp can directly acquire target users and thus do their promotion.",0.99999994
Sport_and_Leisure.docx@AllSports.docx,"this incentive will be released over four years – one quarter will be released in the first year, and one quarter will be released each year thereafter.","this incentive will be released over four years – one quarter will be released in the first year, and one quarter will be released each year thereafter.",0.99999994
Sport_and_Leisure.docx@AllSports.docx,"this whitepaper is intended for general informational purposes only and does not constitute a prospectus, an offer document, an offer of securities, a solicitation for investment, or any offer to sell any product, item or asset (whether digital or otherwise).","this whitepaper is intended for general informational purposes only and does not constitute a prospectus, an offer document, an offer of securities, a solicitation for investment, or any offer to sell any product, item or asset (whether digital or otherwise).",0.999999881
Sport_and_Leisure.docx@AllSports.docx,"except for the real iconic characters, users need to create their own image from 0 to 1 in each community, which will lead to the slow integration of new people into the community and community growth.","except for the real iconic characters, users need to create their own image from 0 to 1 in each community, which will lead to the slow integration of new people into the community and community growth.",0.999999881
Sport_and_Leisure.docx@AllSports.docx,the regulation of currencies by various countries has resulted in the inability to support global betting payments.,the regulation of currencies by various countries has resulted in the inability to support global betting payments.,0.999999881
Sport_and_Leisure.docx@AllSports.docx,the foundation has strong technical capability and offline resources integration capability.,the foundation has strong technical capability and offline resources integration capability.,0.999999821
Sport_and_Leisure.docx@AllSports.docx,"in the third place, inability to pay immediately.","in the third place, inability to pay immediately.",0.999999702
Sport_and_Leisure.docx@AllSports.docx,"thereafter, the issued ip tokens would enter the secondary market.","thereafter, the issued ip tokens would enter the secondary market.",0.999999702
Sport_and_Leisure.docx@AllSports.docx,"audit committee:
responsible for operational audit, financial audit, and code audit.","audit committee:
responsible for operational audit, financial audit, and code audit.",0.999999702
Sport_and_Leisure.docx@AllSports.docx,"the total number of each ip token is fixed, while the proportion of the initial distribution of shares cannot be too much nor too little.","the total number of each ip token is fixed, while the proportion of the initial distribution of shares cannot be too much nor too little.",0.999999642
Sport_and_Leisure.docx@AllSports.docx,"this allows people around the world to overcome the geographical barriers and use their fragmented time anytime, anywhere to participate.","this allows people around the world to overcome the geographical barriers and use their fragmented time anytime, anywhere to participate.",0.999999642
Sport_and_Leisure.docx@AllSports.docx,"fans do not share in the rise in the asset value of ip assets, while ip assets do not drive fans to create value quickly.","fans do not share in the rise in the asset value of ip assets, while ip assets do not drive fans to create value quickly.",0.999999583
