Unnamed: 0,key,query,source,score
7875,RealTract.docx@Constellation.docx,there is a body of work related to extended trust chain that solves the problem of sybil resistant reputation modeling.,there is a body of work related to extended trust chain that solves the problem of sybil resistant reputation modeling.,1
7879,RealTract.docx@Constellation.docx,this allows us a kind of trust that is neglected in existing technologies which enforces good behavior with transaction fees and inegalitarian consensus mechanisms.,this allows us a kind of trust that is neglected in existing technologies which enforces good behavior with transaction fees and inegalitarian consensus mechanisms.,0.999999881
7895,RealTract.docx@Constellation.docx,the previous block hash (result of last consensus) is used to sort the contents of each bucket and the top n from each bucket (according to a probability distribution) are selected for this round.,the previous block hash (result of last consensus) is used to sort the contents of each bucket and the top n from each bucket (according to a probability distribution) are selected for this round.,0.999999762
7891,RealTract.docx@Constellation.docx,this is meant to maximize throughput by relaxing the number of facilitators yet maintaining the same level of fault tolerance and confirmation times.,this is meant to maximize throughput by relaxing the number of facilitators yet maintaining the same level of fault tolerance and confirmation times.,0.999999404
7868,RealTract.docx@Constellation.docx,the catamorphic part can be defined as a combination of an initial value c ∈ c for the fold and a binary operator ⊕ : b ×c → c used to perform a fold.,"the catamorphic part can be defined as a combination of an initial value
c ∈ c for the fold and a binary operator ⊕ : b × c → c used to perform a fold.",0.99254179
7874,RealTract.docx@Constellation.docx,"have shown that the typical fault tolerance of 1/3 malicious nodes in

byzantine consensus can be improved to up to (and in some cases over) 1/2.",have shown that the typical fault tolerance of 1/3 malicious nodes in byzantine consensus can be improved to up to (and in some cases over) 1/2.,0.989714026
7877,RealTract.docx@Constellation.docx,"our use of reputation based scoring for delegate selection with proof-of-result, in conjunction with each node’s role as an individual account, allows our permissionless network the benefits of a permissioned system by enforcing transparency which incentivizes good behavior.","our use of reputation based scoring for delegate selection with proof-ofmeme,inconjunctionwitheachnode’sroleasanindividualaccount,allows our permissionless network the benefits of a permissioned system by enforcing transparency which incentivizes good behavior.",0.931132317
7896,RealTract.docx@Constellation.docx,the st of a consensus participant who acts faulty or provably malicious (as verifiable within logs) will be docked in the next consensus participant election.,the meme of a consensus participant who acts faulty or provably malicious (as verifiable within logs) will be docked in the next consensus participant election.,0.898145318
7889,RealTract.docx@Constellation.docx,"each feature is representative of a block to the network (has it been notable faulty during consensus, how much memory can it commit to consensus and so on and so forth).","each feature is representative of a node’s utility to the network (has it been notable faulty during consensus, how much memory can it commit to consensus and so on and so forth).",0.894560933
7870,RealTract.docx@Constellation.docx,"thus in our case, it represents benevolent behavior across ret chain that is rewarded and should be imitated to improve a nodes overall reputation within the system.","thus in our case, it represents benevolent behavior across constellation that is rewarded and should be imitated to improve a nodes overall reputation within the system.",0.885804653
7869,RealTract.docx@Constellation.docx,in our case the gossiping of messages is our anamorphism and the hashing of those messages plus the result of the previous block is our catamorphism.,"https://github.com/w3f/polkadot-whitepaper/raw/master/polkadotpaper.pdf




in our case the gossiping of messages is our anamorphism and the hashing of those messages plus the result of the previous block is our catamorphism.",0.849383116
7897,RealTract.docx@Constellation.docx,"instead of increasing prices when latency is high, commas with low reputation scores will be throttled; their transactions processed with lower priority.","instead of increasing prices when latency is high, memes with low reputation scores will be throttled; their transactions processed with lower priority.",0.830941677
7872,RealTract.docx@Constellation.docx,"a corresponding deterministic machine learning model, which uses this ontology (st) as it’s feature space, is used to determine the node’s reputation score and transitively the probability of said node being chosen to participate in consensus.","sabater,	regret:	a	reputation	model	for	gregarious	societies 




deterministic machine learning model, which uses this ontology (meme) as it’s feature space, is used to determine the node’s reputation score and transitively the probability of said node being chosen to participate in consensus.",0.819002628
7876,RealTract.docx@Constellation.docx,"specifically the p. otte”sybil-resistant trust mechanisms in distributed systems” uses the netflow algorithm to prevent sybil attacks and a modification of pagerank, namely temporal pagerank, to update reputation state.","specifically the p. otte17 uses the netflow algorithm to prevent sybil attacks and a modification of pagerank, namely temporal pagerank, to update reputation state.",0.818801463
7882,RealTract.docx@Constellation.docx,"we will follow the approach used in regret to develop an ontology for a st, which will become the feature space for our reputation score.","we will follow the approach used in regret to develop an ontology for a meme, which will become the feature space for our reputation score.",0.815131545
