Query_Doc@Source_Doc,Count of score
Sport_and_Leisure.docx@AllSports.docx,124
PRIZM.docx@Nxt.docx,81
Levolution.docx@INS.docx,17
RealTract.docx@Constellation.docx,15
MakerDAO.docx@Dai.docx,15
Qtum.docx@truebit.docx,12
QunQun.docx@QuarkChain.docx,11
Sport_and_Leisure.docx@QunQun.docx,9
AcuteAngleCould.docx@Bodhi.docx,9
AllSports.docx@Bodhi.docx,9
Crypterium.docx@NAGA.docx,9
Traxia.docx@Ardor.docx,8
Silverway.docx@INS.docx,8
QunQun.docx@AllSports.docx,8
QunQun.docx@Bodhi.docx,8
AcuteAngleCould.docx@AllSports.docx,8
Sport_and_Leisure.docx@Bodhi.docx,7
GreenPower.docx@BitShares.docx,7
Sport_and_Leisure.docx@AcuteAngleCould.docx,6
StakeNet.docx@PowerLedger.docx,6
PowerLedger.docx@NoLimitCoin.docx,6
PIVX.docx@ZEON.docx,6
Crypterium.docx@INS.docx,6
Centrality.docx@Kin.docx,6
Traxia.docx@Datum.docx,5
Unibright.docx@Entercoin.docx,5
Verge.docx@LindaCoin.docx,5
Tap.docx@Nebulas.docx,5
SwissBorg.docx@ArdCoin.docx,5
Polybius.docx@Karma.docx,5
RealTract.docx@Credits.docx,5
QunQun.docx@AcuteAngleCould.docx,5
Lunyr.docx@Levolution.docx,5
ALQO.docx@Bitcoin.docx,5
Iota.docx@Burst.docx,5
Bottos.docx@HTMLCOIN.docx,5
Waltonchain.docx@InternetNodeToken.docx,4
Unibright.docx@Ardor.docx,4
StakeNet.docx@NoLimitCoin.docx,4
Tokenomy.docx@LUXCoin.docx,4
Unibright.docx@Datum.docx,4
Sport_and_Leisure.docx@QuarkChain.docx,4
Unibright.docx@Traxia.docx,4
StakeNet.docx@LUXCoin.docx,4
UNetwork.docx@Bodhi.docx,4
Tap.docx@Levolution.docx,4
Zebi.docx@WePower.docx,4
LUXCoin.docx@INS.docx,4
QuarkChain.docx@AllSports.docx,4
Silverway.docx@Crypterium.docx,4
QuarkChain.docx@Bodhi.docx,4
QuarkChain.docx@Zebi.docx,4
PowerLedger.docx@RealTract.docx,4
Everex.docx@CyberVein.docx,4
Envion.docx@Crypterium.docx,4
Entercoin.docx@SuperZero.docx,4
Ardor.docx@Datum.docx,4
Acala_Whitepaper.docx@Dai.docx,4
BitbookGambling.docx@Crypterium.docx,4
Bulwark.docx@ColossusXT.docx,4
Covesting.docx@Levolution.docx,4
Verge.docx@ColossusXT.docx,3
UNUS_SED_LEO.docx@BitbookGambling.docx,3
Stellar.docx@BOSAGORA.docx,3
Tap.docx@AtlasProtocol.docx,3
UNUS_SED_LEO.docx@INS.docx,3
StakeNet.docx@LIFE.docx,3
Vidy.docx@OST.docx,3
StakeNet.docx@Carry.docx,3
Zebi.docx@Carry.docx,3
Qtum.docx@Everex.docx,3
Silverway.docx@BitbookGambling.docx,3
RedFOX.docx@AllSports.docx,3
MedicCoin.docx@Cryptonex.docx,3
Propy.docx@Cryptonex.docx,3
Nebulas.docx@AtlasProtocol.docx,3
QuarkChain.docx@AcuteAngleCould.docx,3
PayPie.docx@Credits.docx,3
Refereum.docx@Centrality.docx,3
PayPie.docx@RealTract.docx,3
Primas.docx@Nework.docx,3
Silverway.docx@UNUS_SED_LEO.docx,3
Carry.docx@Cook-Whitepaper-3.docx,3
AllSports.docx@Egretia.docx,3
InternetNodeToken.docx@Lunyr.docx,3
elrond-whitepaper.docx@Zilliqa.docx,3
InternetNodeToken.docx@Centrality.docx,3
Entercoin.docx@DMarket.docx,3
Eximchain.docx@Zebi.docx,3
Entercoin.docx@INS.docx,3
Carry.docx@MediBloc.docx,3
Entercoin.docx@RealTract.docx,3
InternetNodeToken.docx@Primas.docx,3
Telcoin.docx@Centrality.docx,2
UNUS_SED_LEO.docx@Crypterium.docx,2
Tap.docx@Carry.docx,2
Telcoin.docx@Tokenomy.docx,2
Verge.docx@DeepOnion.docx,2
THEKEY.docx@RealTract.docx,2
Yee.docx@Kin.docx,2
Zebi.docx@Cook-Whitepaper-3.docx,2
UNUS_SED_LEO.docx@Centrality.docx,2
ZVCHAIN.docx@Cortex.docx,2
Verge.docx@Bitcoin.docx,2
TimeNewBank.docx@InternetNodeToken.docx,2
Vidy.docx@Cook-Whitepaper-3.docx,2
Tokenomy.docx@Centrality.docx,2
SwftCoin.docx@Primas.docx,2
StakeNet.docx@INS.docx,2
Unibright.docx@QASH.docx,2
Tokenomy.docx@NAGA.docx,2
StakeNet.docx@CertifiedDiamondNetwork.docx,2
TomoChain.docx@Centrality.docx,2
UNUS_SED_LEO.docx@CertifiedDiamondNetwork.docx,2
TomoChain.docx@Kin.docx,2
StakeNet.docx@DeepOnion.docx,2
StakeNet.docx@Centrality.docx,2
Tap.docx@OST.docx,2
StakeNet.docx@LiquidApps.docx,2
SwftCoin.docx@Entercoin.docx,2
Zcash.docx@Burst.docx,2
Vidy.docx@LUXCoin.docx,2
SwftCoin.docx@RealTract.docx,2
Vidy.docx@Tap.docx,2
StakeNet.docx@MediBloc.docx,2
WePower.docx@Levolution.docx,2
Sport_and_Leisure.docx@RedFOX.docx,2
Telcoin.docx@FunctionX.docx,2
Swipe.docx@LIFE.docx,2
Tron.docx@Qtum.docx,2
Sport_and_Leisure.docx@Egretia.docx,2
Tierion.docx@DeepOnion.docx,2
Tierion.docx@XinFin.docx,2
QuarkChain.docx@NAGA.docx,2
LiquidApps.docx@MediBloc.docx,2
RedFOX.docx@Levolution.docx,2
LiquidApps.docx@WePower.docx,2
QuarkChain.docx@Carry.docx,2
Nebulas.docx@Levolution.docx,2
QunQun.docx@Egretia.docx,2
Nebulas.docx@LUXCoin.docx,2
Silverway.docx@Covesting.docx,2
Nebulas.docx@Nxt.docx,2
LUXCoin.docx@Hshare.docx,2
Lunyr.docx@ChainGames.docx,2
QuarkChain.docx@Crypterium.docx,2
PayPie.docx@Populous.docx,2
LiquidApps.docx@Carry.docx,2
Lunyr.docx@RocketPool.docx,2
RealTract.docx@INS.docx,2
LIFE.docx@INS.docx,2
MediBloc.docx@LUXCoin.docx,2
PoseidonNetwork.docx@Alphacat.docx,2
Silverway.docx@Envion.docx,2
PowerLedger.docx@Entercoin.docx,2
QASH.docx@Zebi.docx,2
PowerLedger.docx@INS.docx,2
LIFE.docx@Gifto.docx,2
LINA.docx@Kin.docx,2
QuarkChain.docx@CertifiedDiamondNetwork.docx,2
LiquidApps.docx@LUXCoin.docx,2
QuarkChain.docx@Egretia.docx,2
Lunyr.docx@Traxia.docx,2
QuarkChain.docx@WePower.docx,2
PRIZM.docx@Nebulas.docx,2
LiquidApps.docx@CertifiedDiamondNetwork.docx,2
LUXCoin.docx@Hifi_Finance.docx,2
RealTract.docx@Burst.docx,2
Silverway.docx@LUXCoin.docx,2
LUXCoin.docx@LIFE.docx,2
Skale.docx@IoTeX.docx,2
MediBloc.docx@LIFE.docx,2
Skycoin.docx@Centrality.docx,2
Silverway.docx@Cook-Whitepaper-3.docx,2
QASH.docx@LUXCoin.docx,2
LiquidApps.docx@Levolution.docx,2
QASH.docx@QuarkChain.docx,2
LiquidApps.docx@LIFE.docx,2
QASH.docx@Traxia.docx,2
QASH.docx@WePower.docx,2
QASH.docx@Ardor.docx,2
Skale.docx@Lunyr.docx,2
QASH.docx@Datum.docx,2
QASH.docx@Levolution.docx,2
Primas.docx@LUXCoin.docx,2
Ethereum_original.docx@FunctionX.docx,2
Carry.docx@LUXCoin.docx,2
BitbookGambling.docx@CertifiedDiamondNetwork.docx,2
CertifiedDiamondNetwork.docx@Crypterium.docx,2
Envion.docx@EXMR_FDN.docx,2
CertifiedDiamondNetwork.docx@Egretia.docx,2
Eximchain.docx@Carry.docx,2
CertifiedDiamondNetwork.docx@EXMR_FDN.docx,2
InternetNodeToken.docx@Hshare.docx,2
ChainGames.docx@LIFE.docx,2
Envion.docx@BitbookGambling.docx,2
ChainGames.docx@LUXCoin.docx,2
Envion.docx@LUXCoin.docx,2
aelf.docx@PoseidonNetwork.docx,2
Centrality.docx@Crypterium.docx,2
Covesting.docx@LUXCoin.docx,2
Centrality.docx@Delphy.docx,2
BitbookGambling.docx@EXMR_FDN.docx,2
IHTRealEstateProtocol.docx@UNUS_SED_LEO.docx,2
BitbookGambling.docx@INS.docx,2
Entercoin.docx@SunContract.docx,2
AgaveCoin.docx@Covesting.docx,2
Entercoin.docx@ULTRAIN.docx,2
IoTeX.docx@NKN.docx,2
BABB.docx@Cryptonex.docx,2
DeepOnion.docx@LindaCoin.docx,2
Envion.docx@INS.docx,2
DeepOnion.docx@NoLimitCoin.docx,2
Ethereum_original.docx@Burst.docx,2
Edgeless.docx@Centrality.docx,2
Ethereum_original.docx@truebit.docx,2
elrond-whitepaper.docx@MultiVAC.docx,2
Eximchain.docx@Bodhi.docx,2
BTUProtocol.docx@LUXCoin.docx,2
Eximchain.docx@LUXCoin.docx,2
Entercoin.docx@Bitcoin.docx,2
FunctionX.docx@INS.docx,2
ALQO.docx@LindaCoin.docx,2
IHTRealEstateProtocol.docx@LUXCoin.docx,2
Burst.docx@Credits.docx,2
Centrality.docx@Levolution.docx,2
Entercoin.docx@Populous.docx,2
Centrality.docx@LUXCoin.docx,2
AcuteAngleCould.docx@InternetNodeToken.docx,2
Crypterium.docx@LUXCoin.docx,2
IoTeX.docx@Burst.docx,2
Komodo.docx@Hshare.docx,2
0x.docx@Centrality.docx,2
Karma.docx@Peerplays.docx,2
Cryptonex.docx@PLATINCOIN.docx,2
Dimecoin.docx@Grid+.docx,2
TomoChain.docx@Kyber.docx,1
SuperZero.docx@Zilliqa.docx,1
Streamr.docx@NAGA.docx,1
SwftCoin.docx@InternetNodeToken.docx,1
Waltonchain.docx@RealTract.docx,1
SwftCoin.docx@Levolution.docx,1
ULTRAIN.docx@BlockStamp.docx,1
SwftCoin.docx@MyBit.docx,1
Substratum.docx@ALQO.docx,1
SwftCoin.docx@Nebulas.docx,1
Waltonchain.docx@0x.docx,1
SwftCoin.docx@PowerLedger.docx,1
SwftCoin.docx@Credits.docx,1
Sport_and_Leisure.docx@BABB.docx,1
Traxia.docx@INS.docx,1
SwftCoin.docx@QuantumResistantLedger.docx,1
StakeNet.docx@Zebi.docx,1
StakeNet.docx@ChainGames.docx,1
Unibright.docx@LUXCoin.docx,1
SwftCoin.docx@SunContract.docx,1
UNUS_SED_LEO.docx@EXMR_FDN.docx,1
SwftCoin.docx@SwissBorg.docx,1
Vidy.docx@Hshare.docx,1
SwftCoin.docx@truebit.docx,1
SwftCoin.docx@Ankr.docx,1
SwftCoin.docx@WaykiChain.docx,1
WePower.docx@Carry.docx,1
Swipe.docx@Alphacat.docx,1
SwftCoin.docx@Ethereum_original.docx,1
Swipe.docx@Hifi_Finance.docx,1
TomoChain.docx@Refereum.docx,1
StakeNet.docx@COSS.docx,1
truebit.docx@Ambrosus.docx,1
Swipe.docx@LiquidApps.docx,1
ULTRAIN.docx@HTMLCOIN.docx,1
Swipe.docx@MediBloc.docx,1
Unibright.docx@Blocktix.docx,1
StakeNet.docx@Crypterium.docx,1
Unibright.docx@Hshare.docx,1
SwissBorg.docx@Blackmoon.docx,1
Unibright.docx@RealTract.docx,1
SwissBorg.docx@Blocktix.docx,1
SunContract.docx@Ankr.docx,1
SwissBorg.docx@Bodhi.docx,1
UNUS_SED_LEO.docx@LIFE.docx,1
SwissBorg.docx@ChainGames.docx,1
Verge.docx@Wings.docx,1
SwissBorg.docx@Crypterium.docx,1
Sweetbridge.docx@ShipChain.docx,1
SwissBorg.docx@Dimecoin.docx,1
Waltonchain.docx@Cryptonex.docx,1
SwissBorg.docx@Entercoin.docx,1
Waltonchain.docx@NAGA.docx,1
SwissBorg.docx@Hshare.docx,1
Waltonchain.docx@XinFin.docx,1
SwissBorg.docx@IHTRealEstateProtocol.docx,1
WePower.docx@LIFE.docx,1
SwissBorg.docx@INS.docx,1
Zcash.docx@NAGA.docx,1
SwissBorg.docx@InternetNodeToken.docx,1
Zebi.docx@MediBloc.docx,1
SwissBorg.docx@Levolution.docx,1
TomoChain.docx@LINA.docx,1
SwissBorg.docx@PowerLedger.docx,1
StakeNet.docx@QuarkChain.docx,1
SwissBorg.docx@Primas.docx,1
StakeNet.docx@WePower.docx,1
SwissBorg.docx@QASH.docx,1
truebit.docx@Grid+.docx,1
SwissBorg.docx@QuarkChain.docx,1
ULTRAIN.docx@DavinciCoin.docx,1
SwissBorg.docx@QunQun.docx,1
ULTRAIN.docx@WaykiChain.docx,1
SwissBorg.docx@Silverway.docx,1
Unibright.docx@Ankr.docx,1
SwissBorg.docx@SunContract.docx,1
Unibright.docx@DMarket.docx,1
SwissBorg.docx@UNUS_SED_LEO.docx,1
Unibright.docx@HexxCoin.docx,1
SwissBorg.docx@WePower.docx,1
Unibright.docx@INS.docx,1
SwissBorg.docx@Zebi.docx,1
Streamr.docx@Skale.docx,1
Syscoin.docx@Zilliqa.docx,1
Substratum.docx@AIOZ.docx,1
Tap.docx@AllSports.docx,1
UNUS_SED_LEO.docx@Carry.docx,1
StakeNet.docx@Datum.docx,1
SunContract.docx@DeepOnion.docx,1
Tap.docx@Bodhi.docx,1
SuperZero.docx@Cartesi.docx,1
SmartMesh.docx@Paxos.docx,1
UTRUST.docx@Swarm.docx,1
Tap.docx@CertifiedDiamondNetwork.docx,1
Swarm.docx@NPCoin.docx,1
Tap.docx@Cook-Whitepaper-3.docx,1
Vidy.docx@AtlasProtocol.docx,1
Tap.docx@Datum.docx,1
Sweetbridge.docx@OriginTrail.docx,1
Tap.docx@Eximchain.docx,1
Vidy.docx@StakeNet.docx,1
Tap.docx@Hshare.docx,1
Waltonchain.docx@BABB.docx,1
Tap.docx@Karma.docx,1
Waltonchain.docx@FunctionX.docx,1
StakeNet.docx@Egretia.docx,1
Waltonchain.docx@LuckySeven.docx,1
Tap.docx@Lunyr.docx,1
Waltonchain.docx@PowerLedger.docx,1
StakeNet.docx@Gifto.docx,1
Waltonchain.docx@THEKEY.docx,1
StakeNet.docx@IHTRealEstateProtocol.docx,1
WaykiChain.docx@CyberVein.docx,1
Tap.docx@Sport_and_Leisure.docx,1
WePower.docx@Gifto.docx,1
Tap.docx@WePower.docx,1
XinFin.docx@BABB.docx,1
Telcoin.docx@0x.docx,1
Zcash.docx@ALQO.docx,1
Sport_and_Leisure.docx@Carry.docx,1
Zebi.docx@apM_Coin.docx,1
Telcoin.docx@Delphy.docx,1
Zebi.docx@Hshare.docx,1
Telcoin.docx@Dimecoin.docx,1
SwftCoin.docx@INS.docx,1
SmartMesh.docx@RequestNetwork.docx,1
TomoChain.docx@LIFE.docx,1
Telcoin.docx@Grid+.docx,1
TomoChain.docx@Nework.docx,1
Telcoin.docx@InternetNodeToken.docx,1
TomoChain.docx@Tokenomy.docx,1
Telcoin.docx@Kin.docx,1
StakeNet.docx@Silverway.docx,1
Telcoin.docx@LINA.docx,1
Tron.docx@Alphacat.docx,1
Telcoin.docx@Lunyr.docx,1
Tron.docx@ULTRAIN.docx,1
Telcoin.docx@Pillar.docx,1
truebit.docx@Ankr.docx,1
Telcoin.docx@Refereum.docx,1
truebit.docx@NAGA.docx,1
Telcoin.docx@Shyft.docx,1
ULTRAIN.docx@Bottos.docx,1
Telcoin.docx@shyft-network-inc-whitepaper_v4.1.docx,1
ULTRAIN.docx@DMarket.docx,1
StakeNet.docx@LindaCoin.docx,1
ULTRAIN.docx@Nework.docx,1
Telcoin.docx@TomoChain.docx,1
UNetwork.docx@AllSports.docx,1
TheForceProtocol.docx@Chronobank.docx,1
UNetwork.docx@DMarket.docx,1
TheForceProtocol.docx@CPChain.docx,1
Skycoin.docx@UNUS_SED_LEO.docx,1
TheForceProtocol.docx@KuCoin.docx,1
Streamr.docx@DavinciCoin.docx,1
THEKEY.docx@BABB.docx,1
Unibright.docx@Elastos.docx,1
THEKEY.docx@Cryptonex.docx,1
Unibright.docx@FunctionX.docx,1
THEKEY.docx@FunctionX.docx,1
Unibright.docx@Hifi_Finance.docx,1
THEKEY.docx@Lympo.docx,1
Unibright.docx@Icon.docx,1
THEKEY.docx@MedicCoin.docx,1
Unibright.docx@LINA.docx,1
THEKEY.docx@NPCoin.docx,1
Unibright.docx@Peerplays.docx,1
THEKEY.docx@PLATINCOIN.docx,1
Unibright.docx@Qtum.docx,1
THEKEY.docx@PowerLedger.docx,1
Unibright.docx@SunContract.docx,1
THEKEY.docx@Propy.docx,1
UNUS_SED_LEO.docx@B2BX.docx,1
Smartshare.docx@LinkEye.docx,1
UNUS_SED_LEO.docx@Bodhi.docx,1
THEKEY.docx@Sport_and_Leisure.docx,1
Substratum.docx@Credits.docx,1
THEKEY.docx@XinFin.docx,1
UNUS_SED_LEO.docx@ChainGames.docx,1
SONM.docx@AcuteAngleCould.docx,1
UNUS_SED_LEO.docx@DeepOnion.docx,1
Zilliqa.docx@Cartesi.docx,1
UNUS_SED_LEO.docx@Hshare.docx,1
Zilliqa.docx@DavinciCoin.docx,1
UNUS_SED_LEO.docx@Levolution.docx,1
ZrCoin.docx@Cryptonex.docx,1
UNUS_SED_LEO.docx@Viacoin.docx,1
SONM.docx@InternetNodeToken.docx,1
